Title:               Industrial Production: Consumer Goods
Series ID:           IPCONGD
Source:              Board of Governors of the Federal Reserve System
Release:             G.17 Industrial Production and Capacity Utilization
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Index 2002=100
Date Range:          1939-01-01 to 2009-12-01
Last Updated:        2010-01-15 10:31 AM CST
URL:                 http://research.stlouisfed.org/fred2/series/IPCONGD
Notes:               

DATE           VALUE
1939-01-01   11.2010
1939-02-01   11.2010
1939-03-01   11.3846
1939-04-01   11.3846
1939-05-01   11.4214
1939-06-01   11.5315
1939-07-01   11.6784
1939-08-01   11.7152
1939-09-01   11.8988
1939-10-01   12.0090
1939-11-01   12.1191
1939-12-01   12.1559
1940-01-01   12.1191
1940-02-01   12.0824
1940-03-01   11.9355
1940-04-01   12.0090
1940-05-01   12.0824
1940-06-01   12.1926
1940-07-01   12.1559
1940-08-01   12.1559
1940-09-01   12.4864
1940-10-01   12.7067
1940-11-01   12.9638
1940-12-01   13.3678
1941-01-01   13.6248
1941-02-01   14.0288
1941-03-01   14.3961
1941-04-01   14.6531
1941-05-01   15.0938
1941-06-01   15.1305
1941-07-01   15.1306
1941-08-01   15.1673
1941-09-01   15.0938
1941-10-01   15.0938
1941-11-01   15.1306
1941-12-01   15.1306
1942-01-01   15.4244
1942-02-01   15.2407
1942-03-01   15.2407
1942-04-01   13.1474
1942-05-01   13.0005
1942-06-01   12.7802
1942-07-01   12.9638
1942-08-01   13.0740
1942-09-01   13.1107
1942-10-01   13.3310
1942-11-01   13.4045
1942-12-01   13.6983
1943-01-01   13.2943
1943-02-01   13.4045
1943-03-01   13.4412
1943-04-01   13.5881
1943-05-01   13.8085
1943-06-01   14.0288
1943-07-01   14.2492
1943-08-01   14.3226
1943-09-01   14.4328
1943-10-01   14.3226
1943-11-01   14.2859
1943-12-01   13.9921
1944-01-01   14.1390
1944-02-01   14.2124
1944-03-01   14.3961
1944-04-01   14.4695
1944-05-01   14.5797
1944-06-01   14.6531
1944-07-01   14.7266
1944-08-01   15.0571
1944-09-01   14.7266
1944-10-01   14.7633
1944-11-01   14.7266
1944-12-01   14.7266
1945-01-01   14.9469
1945-02-01   14.8368
1945-03-01   14.8000
1945-04-01   14.9102
1945-05-01   14.9469
1945-06-01   15.0571
1945-07-01   15.0204
1945-08-01   14.3593
1945-09-01   15.0571
1945-10-01   15.2775
1945-11-01   15.7182
1945-12-01   15.9018
1946-01-01   16.5995
1946-02-01   17.2606
1946-03-01   17.1504
1946-04-01   17.3340
1946-05-01   17.4075
1946-06-01   17.4442
1946-07-01   17.8482
1946-08-01   18.4358
1946-09-01   18.8030
1946-10-01   19.0234
1946-11-01   19.2804
1946-12-01   19.3906
1947-01-01   18.9866
1947-02-01   18.9132
1947-03-01   18.9866
1947-04-01   18.9132
1947-05-01   18.7663
1947-06-01   18.8030
1947-07-01   18.8765
1947-08-01   19.0234
1947-09-01   19.2070
1947-10-01   19.5008
1947-11-01   19.7946
1947-12-01   19.8313
1948-01-01   19.7211
1948-02-01   19.7946
1948-03-01   19.5742
1948-04-01   19.7211
1948-05-01   19.6477
1948-06-01   19.9782
1948-07-01   19.9415
1948-08-01   19.7578
1948-09-01   19.6477
1948-10-01   19.8680
1948-11-01   19.6477
1948-12-01   19.4273
1949-01-01   19.2070
1949-02-01   19.1335
1949-03-01   19.2804
1949-04-01   19.2437
1949-05-01   19.2437
1949-06-01   19.4641
1949-07-01   19.6477
1949-08-01   19.8313
1949-09-01   20.1251
1949-10-01   20.1985
1949-11-01   19.9048
1949-12-01   19.6844
1950-01-01   20.4924
1950-02-01   20.5291
1950-03-01   20.9698
1950-04-01   21.5574
1950-05-01   22.0348
1950-06-01   22.6224
1950-07-01   23.3201
1950-08-01   24.0546
1950-09-01   23.4671
1950-10-01   23.2834
1950-11-01   23.1732
1950-12-01   23.5405
1951-01-01   23.6874
1951-02-01   23.6507
1951-03-01   23.3202
1951-04-01   22.8794
1951-05-01   22.4755
1951-06-01   22.1817
1951-07-01   21.4472
1951-08-01   20.9698
1951-09-01   21.1901
1951-10-01   21.0432
1951-11-01   21.4105
1951-12-01   21.5574
1952-01-01   21.7410
1952-02-01   21.8879
1952-03-01   21.9981
1952-04-01   21.9981
1952-05-01   21.9613
1952-06-01   22.5857
1952-07-01   22.1817
1952-08-01   22.6224
1952-09-01   23.2100
1952-10-01   23.5772
1952-11-01   24.0547
1952-12-01   24.0546
1953-01-01   24.2750
1953-02-01   24.4586
1953-03-01   24.4953
1953-04-01   24.4219
1953-05-01   24.5321
1953-06-01   24.1648
1953-07-01   24.2015
1953-08-01   24.0547
1953-09-01   23.7241
1953-10-01   23.7241
1953-11-01   23.3569
1953-12-01   22.9896
1954-01-01   23.0998
1954-02-01   23.3569
1954-03-01   23.3936
1954-04-01   23.3936
1954-05-01   23.5405
1954-06-01   23.6874
1954-07-01   23.7608
1954-08-01   23.7976
1954-09-01   24.0179
1954-10-01   24.0914
1954-11-01   24.6055
1954-12-01   25.0462
1955-01-01   25.5971
1955-02-01   25.7073
1955-03-01   26.1847
1955-04-01   26.3683
1955-05-01   26.7355
1955-06-01   26.5152
1955-07-01   26.5886
1955-08-01   26.6621
1955-09-01   26.8090
1955-10-01   27.3231
1955-11-01   27.3966
1955-12-01   27.5435
1956-01-01   27.5802
1956-02-01   27.5068
1956-03-01   27.4700
1956-04-01   27.5802
1956-05-01   27.4333
1956-06-01   27.3599
1956-07-01   27.4333
1956-08-01   27.5802
1956-09-01   27.5435
1956-10-01   27.7638
1956-11-01   27.6169
1956-12-01   27.8373
1957-01-01   28.0209
1957-02-01   28.3514
1957-03-01   28.4249
1957-04-01   28.1311
1957-05-01   28.2045
1957-06-01   28.3147
1957-07-01   28.4249
1957-08-01   28.5718
1957-09-01   28.5718
1957-10-01   28.1311
1957-11-01   28.0576
1957-12-01   27.8740
1958-01-01   27.5068
1958-02-01   27.3232
1958-03-01   27.1028
1958-04-01   26.8090
1958-05-01   27.2129
1958-06-01   27.7639
1958-07-01   28.1678
1958-08-01   28.2780
1958-09-01   27.9475
1958-10-01   28.2045
1958-11-01   29.5633
1958-12-01   29.7102
1959-01-01   30.0408
1959-02-01   30.2611
1959-03-01   30.2611
1959-04-01   30.7385
1959-05-01   30.8854
1959-06-01   30.7386
1959-07-01   31.1425
1959-08-01   31.1792
1959-09-01   31.0691
1959-10-01   30.9222
1959-11-01   30.2611
1959-12-01   31.2527
1960-01-01   32.2442
1960-02-01   31.8770
1960-03-01   31.9137
1960-04-01   32.1341
1960-05-01   32.3177
1960-06-01   32.0973
1960-07-01   31.8035
1960-08-01   31.8770
1960-09-01   31.7301
1960-10-01   32.0606
1960-11-01   31.4730
1960-12-01   31.2527
1961-01-01   30.9956
1961-02-01   31.1792
1961-03-01   31.1792
