"AUD","BEF","CHF","DEM","DKK","ESP","FRF","GBP","ITL","JPY","NGL","SEK","date"
0.7248,33.21,1.285,1.5845,6.115,108.47,5.3625,1.8773,1166.25,122.7,1.784,5.807,1988-01-04
0.7066,34.28,1.3378,1.639,6.31,111.57,5.541,1.816,1206.13,128.58,1.8425,5.94,1988-01-07
0.7031,34.54,1.3493,1.6505,6.35,111.67,5.575,1.806,1215.4,129.15,1.8555,5.9685,1988-01-08
0.7107,34.27,1.3377,1.637,6.294,112.57,5.528,1.8219,1203.35,128.2,1.8405,5.941,1988-01-11
0.7081,34.2,1.3346,1.635,6.285,111.53,5.521,1.821,1203.82,127.38,1.8378,5.935,1988-01-12
0.7139,34.16,1.3303,1.6333,6.276,111.3,5.514,1.825,1196.6,126.65,1.8358,5.929,1988-01-13
0.7088,34.24,1.3362,1.637,6.298,110.95,5.5325,1.8125,1204.84,126.73,1.839,5.929,1988-01-14
0.7126,35.12,1.372,1.6795,6.45,111.27,5.66,1.7755,1201.45,130.5,1.8865,6.05,1988-01-15
0.7124,34.64,1.349,1.6618,6.375,113.85,5.6035,1.7923,1220.7,127.75,1.8665,5.988,1988-01-20
0.7151,34.79,1.351,1.664,6.395,112.9,5.611,1.796,1222.58,127.2,1.87,5.991,1988-01-21
0.7162,35,1.3567,1.6755,6.44,112.9,5.646,1.7823,1227.78,127.85,1.883,6.02,1988-01-22
0.7155,35.02,1.3616,1.6775,6.443,113.27,5.656,1.772,1230.42,127.78,1.885,6.029,1988-01-25
0.7152,34.94,1.3615,1.6712,6.41,113.7,5.633,1.7798,1231.18,127.6,1.877,6.015,1988-01-27
0.7153,34.85,1.3565,1.667,6.4,113.38,5.618,1.782,1230.18,127.17,1.8725,6.005,1988-01-28
0.7138,35.04,1.3673,1.6785,6.43,113.25,5.655,1.7691,1234.88,127.75,1.885,6.032,1988-01-29
0.7095,35.32,1.3825,1.692,6.48,113.76,5.703,1.758,1243.88,129.38,1.9005,6.068,1988-02-01
0.7112,35.2,1.373,1.682,6.4425,114.55,5.677,1.77,1243.41,128.28,1.8895,6.06,1988-02-02
0.715,35.3,1.3795,1.688,6.455,114,5.694,1.767,1243.24,127.9,1.8965,6.045,1988-02-03
0.7109,35.35,1.382,1.6903,6.47,113.8,5.7045,1.7628,1247.38,128.5,1.898,6.057,1988-02-04
0.7128,35.53,1.392,1.6985,6.49,113.75,5.733,1.755,1244.26,129.05,1.907,6.07,1988-02-05
0.7098,35.46,1.3865,1.695,6.493,113.9,5.721,1.754,1253.32,128.6,1.904,6.07,1988-02-08
0.7102,35.55,1.3932,1.7005,6.512,113.6,5.737,1.7462,1253.31,129.18,1.9095,6.0735,1988-02-09
0.711,35.36,1.3863,1.6905,6.4975,114.27,5.711,1.7608,1244.95,129.02,1.899,6.05,1988-02-10
0.7133,35.37,1.3875,1.6915,6.4875,114.85,5.723,1.7585,1248,129.14,1.9,6.0475,1988-02-11
0.7118,35.83,1.407,1.7135,6.56,114.35,5.785,1.7395,1252.38,131.15,1.924,6.1,1988-02-12
0.7135,35.68,1.4027,1.7063,6.525,115.48,5.764,1.748,1260.65,130.3,1.9165,6.07,1988-02-17
